dir,cnt,sknt
210.0,5107,7.385935537881959
220.0,4870,7.190533163837583
230.0,4161,6.4544243735952715
280.0,4046,9.173547679941542
240.0,4041,6.068739521414418
200.0,3992,7.496660895374721
270.0,3908,8.440778210116731
250.0,3699,6.289324984728161
290.0,3698,9.15372412151979
260.0,3666,7.455210819411297
300.0,3448,9.149516574585636
310.0,3368,8.721253048208592
320.0,3098,8.322010329757648
330.0,2860,7.6917104111986
190.0,2679,7.388367300206091
180.0,2329,7.584888340868612
50.0,2286,8.049937578027466
340.0,2212,7.016686690695502
40.0,2068,7.854380484902573
60.0,2057,7.694931586047408
30.0,1980,7.5741785595751745
350.0,1938,6.485555383902364
360.0,1928,6.66382036685642
170.0,1823,7.378809869375907
70.0,1779,7.2329831932773105
20.0,1763,7.4042009132420095
10.0,1677,7.133239585164352
80.0,1662,7.126829268292683
90.0,1575,7.8433420365535245
100.0,1486,8.101314938564347
110.0,1269,7.805326419985859
120.0,1149,7.0943055913424375
160.0,1125,6.589473684210526
150.0,988,6.339797395079595
130.0,901,6.526416295353278
140.0,807,6.2535773710482525
